record_id,source_type,scenario_id,scenario_name,scenario_type,scenario_text,weak_labels,weak_tactics,derived_category,derived_severity,category_rule,severity_rule,weak_label_source
simple_1,manual_scenario,simple_1,Simple 1: Basic Malware Detection 🦠,Simple,Found suspicious executable file on employee workstation. The file has unusual name and is trying to contact external servers. Antivirus software flagged it as potentially malicious. Need to analyze threat level and recommend security actions.,cyberthreat; malware,Antivirus_Scanning; Threat_Intelligence,Malware,Critical,multi_category_priority_rule,max_severity_rule,manual_test_scenarios_expected_summary
simple_2,manual_scenario,simple_2,Simple 2: Phishing Email 📧,Simple,Received email asking for password reset. Email claims to be from bank but sender address looks suspicious. Contains urgent message about account being compromised and asks to click link to verify identity.,cyberthreat; phishing,Email_Filtering; Threat_Intelligence,Network Attacks,High,single_category,max_severity_rule,manual_test_scenarios_expected_summary
simple_3,manual_scenario,simple_3,Simple 3: Network Security Issue 🌐,Simple,Unusual network traffic detected from internal server to unknown external IP address. Traffic volume is higher than normal and happening outside business hours. Need assessment of potential security breach.,cyberthreat; networksecurity,Network_Segmentation; Threat_Intelligence,Network Attacks,High,single_category,max_severity_rule,manual_test_scenarios_expected_summary
simple_4,manual_scenario,simple_4,Simple 4: Data Access Anomaly 📊,Simple,Employee accessed customer database outside normal working hours. Downloaded large number of records to personal device. System flagged this as unusual behavior pattern requiring investigation.,dataprotection; privacy,Access_Control; Data_Loss_Prevention,Data Breach,Medium,single_category,max_severity_rule,manual_test_scenarios_expected_summary
simple_5,manual_scenario,simple_5,Simple 5: IoT Device Problem 📱,Simple,Smart security camera in office lobby showing strange behavior. Device is consuming excessive bandwidth and making connections to unfamiliar servers. Firmware appears to have been modified.,iotsecurity; networksecurity,Device_Hardening; Network_Segmentation,Network Attacks,Medium,multi_category_priority_rule,max_severity_rule,manual_test_scenarios_expected_summary
advanced_1,manual_scenario,advanced_1,Advanced 1: Sophisticated Phishing Campaign 🎣,Advanced,"Received suspicious email claiming to be from Microsoft Office 365 security team. The email states that my account will be suspended due to unusual login activity from multiple countries including Russia and China. It contains a link that redirects to a fake Microsoft login page asking for username, password, and two-factor authentication codes. The sender domain appears legitimate but has subtle misspellings. The email creates urgency by threatening immediate account closure and requests immediate action to verify identity through the provided link.",cyberattack; cyberthreat; phishing,Email_Filtering; Threat_Hunting; Threat_Intelligence,Network Attacks,High,single_category,max_severity_rule,manual_test_scenarios_expected_summary
advanced_2,manual_scenario,advanced_2,Advanced 2: Ransomware Attack with Network Propagation 🔒,Advanced,Our network monitoring detected unusual encrypted file activity starting from a single workstation in accounting department. The malware appears to be encrypting files with .crypted extension and leaving ransom notes demanding Bitcoin payment. Security logs show the attack originated from a malicious email attachment containing macro-enabled Excel file. The ransomware is now spreading laterally through SMB shares and attempting to disable backup systems. Network traffic analysis reveals communication with command and control servers in Eastern Europe. Critical business files including customer databases and financial records are being systematically encrypted across multiple departments.,cyberattack; malware; ransomware,Antivirus_Scanning; Backup_and_Recovery; Threat_Hunting,Malware,Critical,multi_category_priority_rule,max_severity_rule,manual_test_scenarios_expected_summary
advanced_3,manual_scenario,advanced_3,Advanced 3: Cloud Infrastructure Compromise ☁️,Advanced,"Cloud security audit revealed multiple AWS S3 buckets with public read access containing sensitive customer data including personal information and payment details. Investigation shows unauthorized access from IP addresses in different geographic locations over past three weeks. The attackers exploited misconfigured IAM roles with excessive permissions allowing privilege escalation. Evidence suggests data exfiltration of approximately 500GB including customer databases, internal documents, and source code repositories. CloudTrail logs indicate creation of unauthorized EC2 instances for cryptocurrency mining and additional persistence mechanisms through Lambda functions.",cloudsecurity; cyberthreat; dataprotection,Cloud_Access_Control; Data_Loss_Prevention; Threat_Intelligence,Network Attacks,High,multi_category_priority_rule,max_severity_rule,manual_test_scenarios_expected_summary
advanced_4,manual_scenario,advanced_4,Advanced 4: IoT Device Compromise and Botnet Formation 🤖,Advanced,"Network administrators detected abnormal traffic patterns from IoT devices including smart cameras, thermostats, and industrial sensors throughout our facility. These devices are generating suspicious outbound connections to external command and control infrastructure. Analysis reveals the devices were infected through default credentials and unpatched firmware vulnerabilities. The compromised IoT devices are participating in distributed denial of service attacks against external targets while also attempting to scan for additional vulnerable devices on internal networks. Device management systems show unauthorized firmware modifications and installation of malicious software designed to maintain persistent access.",iotsecurity; malware; networksecurity,Antivirus_Scanning; Device_Hardening; Network_Segmentation,Malware,Critical,multi_category_priority_rule,max_severity_rule,manual_test_scenarios_expected_summary
advanced_5,manual_scenario,advanced_5,Advanced 5: Insider Threat with Data Exfiltration 👤,Advanced,"Data loss prevention systems flagged unusual file access patterns by a senior developer with elevated database privileges. The employee has been systematically downloading large volumes of proprietary source code, customer databases, and intellectual property outside normal business hours. Investigation reveals use of encrypted external storage devices and cloud file sharing services to exfiltrate sensitive information. The individual has also been accessing systems and projects beyond their assigned responsibilities. Security logs show attempts to cover tracks by deleting audit trails and modifying access timestamps. Recent background check indicates potential financial distress and contact with competitors in the industry.",cybercrime; dataprotection; privacy,Access_Control; Data_Loss_Prevention; Incident_Response_Planning,Data Breach,Medium,single_category,max_severity_rule,manual_test_scenarios_expected_summary
